threshold,TN,FP,FN,TP,precision,recall,f1,validation_projects,num_validation_tests,target_project,selected_threshold,selected_source_selection_top_k
0.55,5943,42,103,20,0.3225806451612903,0.16260162601626016,0.21621621621621623,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.6,5951,34,104,19,0.3584905660377358,0.15447154471544716,0.2159090909090909,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.65,5962,23,104,19,0.4523809523809524,0.15447154471544716,0.2303030303030303,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.7,5966,19,105,18,0.4864864864864865,0.14634146341463414,0.22499999999999998,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.75,5967,18,105,18,0.5,0.14634146341463414,0.22641509433962262,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.8,5972,13,105,18,0.5806451612903226,0.14634146341463414,0.23376623376623376,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.85,5980,5,105,18,0.782608695652174,0.14634146341463414,0.2465753424657534,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.9,5982,3,115,8,0.7272727272727273,0.06504065040650407,0.11940298507462688,"activiti,ambari,elastic-job-lite,handlebars.java,httpcore,incubator-dubbo",6108,assertj-core,0.3,6
0.3,1497,179,167,182,0.5041551246537396,0.5214899713467048,0.5126760563380282,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6
0.35,1526,150,184,165,0.5238095238095238,0.47277936962750716,0.4969879518072289,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6
0.4,1541,135,190,159,0.5408163265306123,0.45558739255014324,0.49455676516329705,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6
0.45,1569,107,206,143,0.572,0.40974212034383956,0.47746243739565947,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6
0.5,1590,86,214,135,0.6108597285067874,0.3868194842406877,0.4736842105263158,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6
0.55,1609,67,221,128,0.6564102564102564,0.3667621776504298,0.47058823529411764,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6
0.6,1624,52,232,117,0.6923076923076923,0.335243553008596,0.4517374517374517,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6
0.65,1632,44,236,113,0.7197452229299363,0.3237822349570201,0.44664031620553357,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6
0.7,1640,36,243,106,0.7464788732394366,0.3037249283667622,0.4317718940936864,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6
0.75,1649,27,247,102,0.7906976744186046,0.2922636103151863,0.42677824267782427,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6
0.8,1655,21,255,94,0.8173913043478261,0.2693409742120344,0.4051724137931035,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6
0.85,1661,15,259,90,0.8571428571428571,0.25787965616045844,0.3964757709251101,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6
0.9,1671,5,284,65,0.9285714285714286,0.18624641833810887,0.3102625298329355,"ambari,hbase,hector,http-request,okhttp,undertow",2025,alluxio,0.3,6
0.3,1367,459,37,185,0.28726708074534163,0.8333333333333334,0.42725173210161665,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.3,6
0.35,1370,456,38,184,0.2875,0.8288288288288288,0.4269141531322505,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.3,6
0.4,1374,452,45,177,0.28139904610492844,0.7972972972972973,0.41598119858989424,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.3,6
0.45,1376,450,53,169,0.2730210016155089,0.7612612612612613,0.40190249702734837,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.3,6
0.5,1377,449,54,168,0.27228525121555913,0.7567567567567568,0.400476758045292,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.3,6
0.55,1379,447,61,161,0.26480263157894735,0.7252252252252253,0.38795180722891565,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.3,6
0.6,1382,444,71,151,0.253781512605042,0.6801801801801802,0.36964504283965727,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.3,6
0.65,1392,434,83,139,0.2425828970331588,0.6261261261261262,0.34968553459119495,"commons-exec,elastic-job-lite,hbase,hector,http-request,httpcore",2048,handlebars.java,0.3,6
