baseline,protocol,dataset,feature_protocol,classifier,balance,threshold_policy,threshold_candidates,calibration_projects_per_target,calibration_seed,ig_threshold,num_trees,random_state,TP,FN,FP,TN,precision,recall,f1,auc
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,1,1,349,0.0,0.0,0.0,0.7428571428571429
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,1,0,350,0.0,0.0,0.0,0.8514285714285714
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,33,112,13,271,0.717391304347826,0.2275862068965517,0.3455497382198952,0.8188076736279749
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,145,0,284,0.0,0.0,0.0,0.8131860126274891
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,33,0,98,0.0,0.0,0.0,0.6068336425479283
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,33,2,96,0.0,0.0,0.0,0.6881570810142239
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,18,0,145,0.0,0.0,0.0,0.6419540229885058
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,18,0,145,0.0,0.0,0.0,0.65727969348659
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,4,18,7,683,0.3636363636363636,0.1818181818181818,0.2424242424242424,0.8999011857707511
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,10,12,7,683,0.5882352941176471,0.4545454545454545,0.5128205128205128,0.8985836627140975
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,19,27,2087,0.0,0.0,0.0,0.810872379624558
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,1,18,12,2102,0.0769230769230769,0.0526315789473684,0.0625,0.8550888811432555
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,23,0,122,0.0,0.0,0.0,0.7473271560940841
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,23,4,118,0.0,0.0,0.0,0.7822523164647184
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,22,26,755,0.0,0.0,0.0,0.6638051449191014
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,22,30,751,0.0,0.0,0.0,0.7061168664881854
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,1,0,14,292,0.0666666666666666,1.0,0.125,0.9705882352941176
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,1,4,302,0.0,0.0,0.0,0.9117647058823528
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,100,0,708,0.0,0.0,0.0,0.5833050847457627
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,100,8,700,0.0,0.0,0.0,0.5350776836158192
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,7,2,77,0.0,0.0,0.0,0.7269439421338155
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,7,0,79,0.0,0.0,0.0,0.7142857142857142
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,5,77,195,1740,0.025,0.0609756097560975,0.0354609929078014,0.6737915169849372
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,9,73,171,1764,0.05,0.1097560975609756,0.0687022900763358,0.6833679964706624
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,3,4,17,157,0.15,0.4285714285714285,0.2222222222222222,0.7233169129720853
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,3,4,20,154,0.1304347826086956,0.4285714285714285,0.2,0.7339901477832513
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,7,16,111,859,0.059322033898305,0.3043478260869565,0.0992907801418439,0.8022187359928283
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,5,18,35,935,0.125,0.217391304347826,0.1587301587301587,0.8237561631555357
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,5,11,270,848,0.0181818181818181,0.3125,0.0343642611683848,0.6491502683363148
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,1,15,59,1059,0.0166666666666666,0.0625,0.0263157894736842,0.6256708407871199
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,2,44,299,0.0,0.0,0.0,0.3760932944606414
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,2,42,301,0.0,0.0,0.0,0.3855685131195335
